Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
47	281.5467	1.9106119	285.66702	277.97238	259.73334	72.157364	28.335274	97.951805	-18.886148	192000	0.0	102.32052	-0.012654675	-34.794266	0.7240543	0.010505954	0.118	79.0	246.638685464859
48	281.62616	3.33468	289.4627	275.65146	259.8	70.77647	28.369747	97.72071	-17.9468	196000	7.629395e-09	83.855	-0.011525629	-15.648895	0.7210151	0.0075717717	0.10875	79.0	250.93369913101196
49	281.74283	2.0079374	285.6399	276.8296	259.86667	71.8785	27.98811	98.09332	-13.362858	200000	-3.8146974e-09	99.8292	-0.011093144	-15.075829	0.7038296	0.007960719	0.10575	79.0	255.27782344818115
50	282.09506	2.091043	285.7599	278.2242	260.13333	70.15402	28.01294	98.46025	-15.67455	204000	1.1444092e-08	113.848045	-0.0039435253	-21.671501	0.68843216	0.015230163	0.2235	3.0	260.0495436191559
51	281.94272	1.5356889	284.49652	279.36252	260.0	71.32767	28.154724	98.23065	-14.254503	208000	6.198883e-09	166.84085	-0.012255749	-95.33753	0.68796337	0.008221701	0.11325	79.0	264.40756583213806
52	283.27008	1.302144	285.74597	280.6766	261.0	70.631096	28.16023	99.175125	-18.299583	212000	-5.1259996e-09	82.66765	-0.003437737	-19.61665	0.67510754	0.016217709	0.16175	4.0	268.2566018104553
53	281.9356	1.4733791	284.4658	279.41864	260.0	71.91606	28.73395	99.725296	-15.91415	216000	-4.6491624e-09	117.582245	-0.009746373	-37.193237	0.67459357	0.011521052	0.10875	79.0	273.6346130371094
54	281.9659	1.6160588	284.5873	279.48032	260.0	71.961494	27.649103	99.756195	-21.038746	220000	-6.437302e-09	130.66826	-0.0047088796	-42.58535	0.67988425	0.018165706	0.14625	3.0	277.33837389945984
55	279.9003	1.8273243	283.14084	276.62253	258.53333	71.20961	28.39002	98.74207	-38.09673	224000	1.0490417e-08	174.68135	-0.013512753	-69.97889	0.6797895	0.010899476	0.11325	79.0	281.6315767765045
56	280.8237	1.5962131	283.216	276.85944	259.13333	71.08775	27.056139	97.84224	-16.191538	228000	9.536744e-10	120.449745	-0.010301795	-34.193024	0.6944749	0.006244841	0.086	79.0	287.0976710319519
57	280.89685	1.0638137	283.22394	279.35355	259.2	71.54604	27.915672	99.0433	-18.847818	232000	-2.861023e-09	101.555855	-0.0077426806	-20.800758	0.6940636	0.007577283	0.06225	79.0	291.543000459671
58	281.69138	2.2644987	286.88257	278.11987	259.8	70.24499	28.06298	97.978516	-15.404212	236000	-9.536744e-10	92.937225	-0.008678269	-32.11472	0.68942595	0.008434736	0.07775	79.0	296.0093882083893
59	281.37805	1.9680556	287.99796	279.32095	259.6	72.3532	28.2142	98.97096	-15.726657	240000	5.00679e-09	103.25538	-0.010183725	-27.996613	0.6943182	0.010777528	0.1175	79.0	301.42205691337585
60	280.4195	2.1073754	284.33252	276.8572	258.86667	71.54826	28.234385	99.22028	-16.84493	244000	6.437302e-09	102.29064	-0.00892437	-18.907402	0.7015172	0.0067566396	0.0925	79.0	305.91776180267334
61	281.8162	2.0559337	288.01556	279.37695	259.93332	71.10454	27.999271	98.18898	-13.506159	248000	-7.629395e-09	80.85777	-0.006667209	-8.4084015	0.6887036	0.0072612907	0.0645	79.0	310.39904522895813
