Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
36	-19.43401	12.150303	-7.0700364	-32.16099	1000.0	-3.1359775	0.00014801614	-3.134962	-3.136256	148000	2.503395e-09	6.4281955	-0.0010809554	-2.1874208	1.1638585	0.0022464143	0.01625	79.0	83.55311274528503
37	-91.30894	55.53214	-35.48116	-174.94157	1000.0	-2.2083209	0.00014761902	-2.2072926	-2.2090015	152000	2.4914742e-08	122.39459	-0.0037810202	-6.501396	1.182044	0.0031071662	0.0415	79.0	85.61626172065735
38	-48.636932	44.135757	-20.113811	-125.01165	1000.0	-3.8127046	0.00019544442	-3.8107429	-3.8130786	156000	9.536744e-10	33.10903	-0.0025830178	-0.09207916	1.1641713	0.002672927	0.01375	79.0	87.6554799079895
39	-77.78911	75.108475	-12.69325	-200.16783	1000.0	-3.655749	0.00016753458	-3.6538618	-3.6564143	160000	-8.5830685e-09	102.74872	-0.0023958988	-2.3102493	1.1824453	0.0017148908	0.01375	79.0	89.66769409179688
40	-69.10269	44.621624	-28.302675	-142.19052	1000.0	-4.658576	0.00016077026	-4.6570807	-4.659136	164000	-9.059906e-09	55.40585	-0.006445025	0.001499176	1.1906732	0.004867748	0.034	79.0	91.69405388832092
41	-42.74079	14.99977	-27.681835	-58.46079	1000.0	-4.6889453	0.0001407287	-4.6883416	-4.689659	168000	-8.702278e-09	18.926926	-0.0024818634	-3.7247248	1.2325453	0.0014638068	0.007	79.0	93.69429397583008
42	-26.081919	12.07549	-9.157543	-42.74884	1000.0	-3.352776	0.00013444119	-3.351573	-3.3530447	172000	-1.5616417e-08	6.387203	-0.0002743831	-1.5432673	1.2042619	0.002234341	0.0075	79.0	95.6957859992981
43	-19.432447	11.800542	-8.114146	-37.244236	1000.0	-2.44655	0.00011365941	-2.4457183	-2.447119	176000	-1.1444092e-08	3.7346559	-0.0020399517	-0.7711077	1.201066	0.0021541251	0.01075	79.0	97.70538067817688
44	-17.343739	17.51747	-5.990278	-47.655933	1000.0	-1.7986917	8.185906e-05	-1.7978321	-1.7990768	180000	6.7949295e-09	5.483411	-0.0015149148	-0.2614174	1.1770039	0.0022659297	0.008	79.0	99.71633195877075
45	-28.086697	20.320133	-7.447074	-61.810246	1000.0	-1.4124424	5.7473324e-05	-1.4122605	-1.4126651	184000	-1.6689301e-09	8.930494	-0.0011584172	-0.04892826	1.1924292	0.0038703051	0.0195	79.0	101.73334074020386
46	-60.875507	28.312973	-21.618546	-93.11505	1000.0	-1.5711509	8.27113e-05	-1.5704345	-1.5715423	188000	6.198883e-09	33.23578	-0.0023913004	-5.301056	1.1799052	0.0053863414	0.05275	79.0	103.73741483688354
47	-60.03933	37.182396	-5.6889706	-99.42645	1000.0	-3.320996	0.0001181646	-3.3206437	-3.3217888	192000	5.841255e-09	46.98313	-0.0011208623	-0.04133606	1.1698676	0.0011205291	0.006	79.0	105.74776792526245
