timestamp,topic,value
2025-07-14 13:17:38.456,position_x,-0.015878
2025-07-14 13:17:38.457,position_y,-0.028670
2025-07-14 13:17:38.458,velocity_x,-0.751455
2025-07-14 13:17:38.459,velocity_y,0.840910
2025-07-14 13:17:38.460,control_force_x,-1.915425
2025-07-14 13:17:38.461,control_force_y,1.018212
2025-07-14 13:17:38.466,position_x,-0.007741
2025-07-14 13:17:38.467,position_y,0.003906
2025-07-14 13:17:38.468,velocity_x,-0.733678
2025-07-14 13:17:38.469,velocity_y,0.789898
2025-07-14 13:17:38.470,control_force_x,-1.312081
2025-07-14 13:17:38.471,control_force_y,0.707759
2025-07-14 13:17:38.476,position_x,-0.010151
2025-07-14 13:17:38.477,position_y,0.037062
2025-07-14 13:17:38.478,velocity_x,-0.720962
2025-07-14 13:17:38.479,velocity_y,0.742024
2025-07-14 13:17:38.480,control_force_x,-1.547599
2025-07-14 13:17:38.481,control_force_y,0.770885
2025-07-14 13:17:38.486,position_x,-0.013120
2025-07-14 13:17:38.487,position_y,-0.018197
2025-07-14 13:17:38.488,velocity_x,-0.783967
2025-07-14 13:17:38.489,velocity_y,0.907286
2025-07-14 13:17:38.489,control_force_x,-1.717804
2025-07-14 13:17:38.490,control_force_y,0.834305
2025-07-14 13:17:38.496,position_x,-0.016650
2025-07-14 13:17:38.497,position_y,0.014133
2025-07-14 13:17:38.498,velocity_x,-0.762650
2025-07-14 13:17:38.499,velocity_y,0.847776
2025-07-14 13:17:38.500,control_force_x,-1.136979
2025-07-14 13:17:38.500,control_force_y,0.503670
2025-07-14 13:17:38.506,position_x,-0.020729
2025-07-14 13:17:38.507,position_y,-0.039955
2025-07-14 13:17:38.508,velocity_x,-0.819384
2025-07-14 13:17:38.509,velocity_y,1.012043
2025-07-14 13:17:38.509,control_force_x,-1.375255
2025-07-14 13:17:38.510,control_force_y,0.603231
2025-07-14 13:17:38.516,position_x,-0.025360
2025-07-14 13:17:38.517,position_y,-0.008456
2025-07-14 13:17:38.518,velocity_x,-0.790681
2025-07-14 13:17:38.519,velocity_y,0.951434
2025-07-14 13:17:38.520,control_force_x,-0.790436
2025-07-14 13:17:38.520,control_force_y,0.271251
2025-07-14 13:17:38.526,position_x,-0.020531
2025-07-14 13:17:38.528,position_y,0.023623
2025-07-14 13:17:38.528,velocity_x,-0.768348
2025-07-14 13:17:38.529,velocity_y,0.894690
2025-07-14 13:17:38.530,control_force_x,-1.096404
2025-07-14 13:17:38.531,control_force_y,0.378997
2025-07-14 13:17:38.536,position_x,-0.026256
2025-07-14 13:17:38.537,position_y,-0.029709
2025-07-14 13:17:38.538,velocity_x,-0.825383
2025-07-14 13:17:38.539,velocity_y,1.051381
2025-07-14 13:17:38.539,control_force_x,-1.353981
2025-07-14 13:17:38.540,control_force_y,0.465184
2025-07-14 13:17:38.546,position_x,-0.022541
2025-07-14 13:17:38.547,position_y,0.002549
2025-07-14 13:17:38.548,velocity_x,-0.795994
2025-07-14 13:17:38.549,velocity_y,0.993467
2025-07-14 13:17:38.550,control_force_x,-0.773243
2025-07-14 13:17:38.550,control_force_y,0.150371
2025-07-14 13:17:38.556,position_x,-0.019372
2025-07-14 13:17:38.557,position_y,0.034394
2025-07-14 13:17:38.558,velocity_x,-0.773196
2025-07-14 13:17:38.559,velocity_y,0.929034
2025-07-14 13:17:38.560,control_force_x,-1.093754
2025-07-14 13:17:38.560,control_force_y,0.242432
2025-07-14 13:17:38.566,position_x,-0.026765
2025-07-14 13:17:38.567,position_y,-0.018169
2025-07-14 13:17:38.568,velocity_x,-0.830716
2025-07-14 13:17:38.569,velocity_y,1.088344
2025-07-14 13:17:38.570,control_force_x,-1.352335
2025-07-14 13:17:38.570,control_force_y,0.347535
2025-07-14 13:17:38.576,position_x,-0.024724
2025-07-14 13:17:38.578,position_y,0.012865
2025-07-14 13:17:38.580,velocity_x,-0.800737
2025-07-14 13:17:38.581,velocity_y,1.022891
2025-07-14 13:17:38.582,control_force_x,-0.771311
2025-07-14 13:17:38.582,control_force_y,0.028274
2025-07-14 13:17:38.586,position_x,-0.023236
2025-07-14 13:17:38.587,position_y,0.044490
2025-07-14 13:17:38.588,velocity_x,-0.777159
2025-07-14 13:17:38.589,velocity_y,0.951349
2025-07-14 13:17:38.590,control_force_x,-1.085849
2025-07-14 13:17:38.591,control_force_y,0.145185
2025-07-14 13:17:38.596,position_x,-0.032317
2025-07-14 13:17:38.597,position_y,-0.007286
2025-07-14 13:17:38.598,velocity_x,-0.835898
2025-07-14 13:17:38.599,velocity_y,1.113802
2025-07-14 13:17:38.600,control_force_x,-1.347980
2025-07-14 13:17:38.601,control_force_y,0.266239
2025-07-14 13:17:38.606,position_x,-0.031970
2025-07-14 13:17:38.607,position_y,0.023540
2025-07-14 13:17:38.608,velocity_x,-0.805876
2025-07-14 13:17:38.609,velocity_y,1.041347
2025-07-14 13:17:38.611,control_force_x,-0.757529
2025-07-14 13:17:38.612,control_force_y,-0.057003
2025-07-14 13:17:38.616,position_x,-0.042182
2025-07-14 13:17:38.617,position_y,-0.027037
2025-07-14 13:17:38.618,velocity_x,-0.859140
2025-07-14 13:17:38.619,velocity_y,1.193070
2025-07-14 13:17:38.620,control_force_x,-1.069931
2025-07-14 13:17:38.621,control_force_y,0.076576
2025-07-14 13:17:38.626,position_x,-0.042960
2025-07-14 13:17:38.628,position_y,0.003988
2025-07-14 13:17:38.630,velocity_x,-0.823019
2025-07-14 13:17:38.631,velocity_y,1.120294
2025-07-14 13:17:38.632,control_force_x,-0.500149
2025-07-14 13:17:38.632,control_force_y,-0.223049
2025-07-14 13:17:38.636,position_x,-0.034291
2025-07-14 13:17:38.637,position_y,0.034609
2025-07-14 13:17:38.638,velocity_x,-0.795129
2025-07-14 13:17:38.639,velocity_y,1.051779
2025-07-14 13:17:38.640,control_force_x,-0.861840
2025-07-14 13:17:38.641,control_force_y,-0.082281
2025-07-14 13:17:38.646,position_x,-0.046192
2025-07-14 13:17:38.647,position_y,-0.016165
2025-07-14 13:17:38.648,velocity_x,-0.850383
2025-07-14 13:17:38.649,velocity_y,1.206921
2025-07-14 13:17:38.650,control_force_x,-1.170967
2025-07-14 13:17:38.650,control_force_y,0.027926
2025-07-14 13:17:38.656,position_x,-0.038669
2025-07-14 13:17:38.657,position_y,0.014669
2025-07-14 13:17:38.658,velocity_x,-0.816929
2025-07-14 13:17:38.659,velocity_y,1.137448
2025-07-14 13:17:38.659,control_force_x,-0.588762
2025-07-14 13:17:38.660,control_force_y,-0.274900
2025-07-14 13:17:38.666,position_x,-0.041708
2025-07-14 13:17:38.667,position_y,0.045106
2025-07-14 13:17:38.668,velocity_x,-0.789495
2025-07-14 13:17:38.669,velocity_y,1.061777
2025-07-14 13:17:38.670,control_force_x,-0.943587
2025-07-14 13:17:38.670,control_force_y,-0.154433
2025-07-14 13:17:38.676,position_x,-0.045326
2025-07-14 13:17:38.677,position_y,-0.003847
2025-07-14 13:17:38.678,velocity_x,-0.847458
2025-07-14 13:17:38.679,velocity_y,1.220278
2025-07-14 13:17:38.680,control_force_x,-1.219027
2025-07-14 13:17:38.681,control_force_y,-0.015847
2025-07-14 13:17:38.686,position_x,-0.049527
2025-07-14 13:17:38.687,position_y,0.025816
2025-07-14 13:17:38.688,velocity_x,-0.813910
2025-07-14 13:17:38.689,velocity_y,1.143816
2025-07-14 13:17:38.689,control_force_x,-0.650476
2025-07-14 13:17:38.690,control_force_y,-0.333328
2025-07-14 13:17:38.696,position_x,-0.054298
2025-07-14 13:17:38.697,position_y,-0.022913
2025-07-14 13:17:38.698,velocity_x,-0.866701
2025-07-14 13:17:38.699,velocity_y,1.291614
2025-07-14 13:17:38.700,control_force_x,-0.974861
2025-07-14 13:17:38.700,control_force_y,-0.187327
2025-07-14 13:17:38.706,position_x,-0.049645
2025-07-14 13:17:38.707,position_y,0.006972
2025-07-14 13:17:38.708,velocity_x,-0.829327
2025-07-14 13:17:38.709,velocity_y,1.214915
2025-07-14 13:17:38.710,control_force_x,-0.425528
2025-07-14 13:17:38.710,control_force_y,-0.478684
2025-07-14 13:17:38.716,position_x,-0.045558
2025-07-14 13:17:38.717,position_y,0.036465
2025-07-14 13:17:38.717,velocity_x,-0.799374
2025-07-14 13:17:38.719,velocity_y,1.142403
2025-07-14 13:17:38.719,control_force_x,-0.806071
2025-07-14 13:17:38.720,control_force_y,-0.333682
2025-07-14 13:17:38.726,position_x,-0.062053
2025-07-14 13:17:38.727,position_y,-0.010425
2025-07-14 13:17:38.728,velocity_x,-0.856318
2025-07-14 13:17:38.729,velocity_y,1.283757
2025-07-14 13:17:38.730,control_force_x,-1.112237
2025-07-14 13:17:38.731,control_force_y,-0.205237
2025-07-14 13:17:38.736,position_x,-0.059134
2025-07-14 13:17:38.737,position_y,0.018306
2025-07-14 13:17:38.738,velocity_x,-0.820313
2025-07-14 13:17:38.739,velocity_y,1.211071
2025-07-14 13:17:38.739,control_force_x,-0.527509
2025-07-14 13:17:38.740,control_force_y,-0.471599
2025-07-14 13:17:38.746,position_x,-0.066789
2025-07-14 13:17:38.747,position_y,-0.028346
2025-07-14 13:17:38.748,velocity_x,-0.872077
2025-07-14 13:17:38.749,velocity_y,1.352264
2025-07-14 13:17:38.750,control_force_x,-0.879238
2025-07-14 13:17:38.751,control_force_y,-0.339674
2025-07-14 13:17:38.756,position_x,-0.065024
2025-07-14 13:17:38.757,position_y,0.000622
2025-07-14 13:17:38.758,velocity_x,-0.832694
2025-07-14 13:17:38.759,velocity_y,1.279221
2025-07-14 13:17:38.760,control_force_x,-0.336688
2025-07-14 13:17:38.761,control_force_y,-0.613222
2025-07-14 13:17:38.766,position_x,-0.063829
2025-07-14 13:17:38.767,position_y,0.029206
2025-07-14 13:17:38.768,velocity_x,-0.801665
2025-07-14 13:17:38.769,velocity_y,1.200121
2025-07-14 13:17:38.769,control_force_x,-0.719699
2025-07-14 13:17:38.770,control_force_y,-0.475710
2025-07-14 13:17:38.776,position_x,-0.073219
2025-07-14 13:17:38.778,position_y,-0.016587
2025-07-14 13:17:38.780,velocity_x,-0.856450
2025-07-14 13:17:38.781,velocity_y,1.345196
2025-07-14 13:17:38.782,control_force_x,-1.027507
2025-07-14 13:17:38.783,control_force_y,-0.327209
2025-07-14 13:17:38.786,position_x,-0.068138
2025-07-14 13:17:38.787,position_y,-0.002372
2025-07-14 13:17:38.788,velocity_x,-0.838036
2025-07-14 13:17:38.790,velocity_y,1.300384
2025-07-14 13:17:38.792,control_force_x,-0.473344
2025-07-14 13:17:38.793,control_force_y,-0.607451
2025-07-14 13:17:38.800,position_x,-0.068406
2025-07-14 13:17:38.800,position_y,0.026275
2025-07-14 13:17:38.801,velocity_x,-0.805439
2025-07-14 13:17:38.802,velocity_y,1.223059
2025-07-14 13:17:38.803,control_force_x,-0.849311
2025-07-14 13:17:38.804,control_force_y,-0.464144
2025-07-14 13:17:38.807,position_x,-0.074911
2025-07-14 13:17:38.808,position_y,-0.004203
2025-07-14 13:17:38.809,velocity_x,-0.845918
2025-07-14 13:17:38.810,velocity_y,1.328124
2025-07-14 13:17:38.811,control_force_x,-0.980386
2025-07-14 13:17:38.811,control_force_y,-0.377791
